hit_id,x,y,z,volume_id,layer_id,module_id
1,-96.0251,-11.0431,-1502.5,7,2,1
2,-57.1466,-5.4254,-1502.5,7,2,1
3,-83.1498,-9.27745,-1502.5,7,2,1
4,-70.7627,-11.2617,-1502.5,7,2,1
5,-73.3473,0.0704576,-1502.5,7,2,1
6,-83.474,1.12918,-1502.5,7,2,1
7,-58.1014,-5.14946,-1502.5,7,2,1
8,-59.7223,2.59725,-1502.5,7,2,1
9,-83.0065,-14.1312,-1502.5,7,2,1
10,-66.613,-10.9351,-1502.5,7,2,1
11,-78.6731,-8.37343,-1502.5,7,2,1
12,-31.0244,-5.73315,-1502.5,7,2,1
13,-72.9722,-12.7396,-1502.5,7,2,1
14,-153.12,-5.20216,-1502,7,2,2
15,-175.399,-4.68051,-1502,7,2,2
16,-154.075,-10.0018,-1502,7,2,2
17,-108.992,-8.31748,-1502,7,2,2
18,-169.722,-10.7248,-1502,7,2,2
19,-107.939,0.590619,-1502,7,2,2
20,-108.702,-8.32268,-1498,7,2,3
21,-152.855,-26.2446,-1498,7,2,3
22,-115.108,-21.0295,-1498,7,2,3
23,-173.122,-22.2564,-1498,7,2,3
24,-167.927,-30.8275,-1498,7,2,3
25,-155.446,-17.2664,-1498,7,2,3
26,-127.429,-24.3132,-1498,7,2,3
27,-139.06,-15.4351,-1498,7,2,3
28,-132.912,-23.3121,-1498,7,2,3
29,-151.666,-25.8767,-1498,7,2,3
30,-111.634,-11.6115,-1498,7,2,3
31,-151.01,-27.08,-1498,7,2,3
32,-60.7914,-14.929,-1498,7,2,4
33,-82.7129,-14.0728,-1498,7,2,4
34,-72.7768,-12.7157,-1498,7,2,4
35,-93.6299,-15.9738,-1498,7,2,4
36,-66.381,-10.9232,-1498,7,2,4
37,-56.2868,-16.1614,-1498,7,2,4
38,-88.7543,-19.1741,-1498,7,2,4
39,-97.5715,-29.5696,-1498,7,2,4
40,-51.8711,-20.0377,-1498,7,2,4
41,-57.1619,-5.46963,-1498,7,2,4
42,-73.1283,-15.5887,-1498,7,2,4
43,-64.4774,-20.3903,-1498,7,2,4
44,-75.8355,-21.4203,-1498,7,2,4
45,-76.3851,-15.9988,-1498,7,2,4
46,-50.8948,-7.71944,-1498,7,2,4
47,-87.228,-28.4233,-1498,7,2,4
48,-53.8929,-20.9345,-1498,7,2,4
49,-70.5256,-11.2497,-1498,7,2,4
50,-52.0034,-14.3618,-1498,7,2,4
51,-159.633,-41.7314,-1502,7,2,5
52,-169.24,-32.6404,-1502,7,2,5
53,-127.761,-24.4247,-1502,7,2,5
54,-147.87,-40.1462,-1502,7,2,5
55,-131.015,-38.5962,-1502,7,2,5
56,-162.816,-31.7451,-1502,7,2,5
57,-130.628,-27.2563,-1502,7,2,5
58,-114.842,-28.4965,-1502,7,2,5
59,-115.446,-21.0146,-1502,7,2,5
60,-109.61,-30.8395,-1502,7,2,5
61,-52.1234,-14.3653,-1502,7,2,6
62,-64.6552,-20.4761,-1502,7,2,6
63,-90.594,-44.3714,-1502,7,2,6
64,-87.4471,-28.5097,-1502,7,2,6
65,-66.8847,-30.7623,-1502,7,2,6
66,-54.0277,-20.9449,-1502,7,2,6
67,-51.9989,-20.1045,-1502,7,2,6
68,-71.9891,-35.6367,-1502,7,2,6
69,-56.4696,-16.2196,-1502,7,2,6
70,-60.5609,-27.6558,-1502,7,2,6
71,-72.7097,-28.8996,-1502,7,2,6
72,-58.9271,-27.0873,-1502,7,2,6
73,-69.6728,-36.0844,-1502,7,2,6
74,-91.8004,-39.6756,-1502,7,2,6
75,-130.955,-47.7676,-1498,7,2,7
76,-109.292,-30.824,-1498,7,2,7
77,-130.633,-38.4839,-1498,7,2,7
78,-141.242,-42.1454,-1498,7,2,7
79,-149.008,-48.6838,-1498,7,2,7
80,-133.204,-67.7516,-1502,7,2,8
81,-107.694,-49.7105,-1502,7,2,8
82,-155.21,-67.8487,-1502,7,2,8
83,-136.292,-63.4854,-1502,7,2,8
84,-109.401,-53.8345,-1502,7,2,8
85,-72.3268,-48.3975,-1497.5,7,2,9
86,-60.3954,-27.5984,-1497.5,7,2,9
87,-63.7844,-40.2893,-1497.5,7,2,9
88,-48.7034,-30.6372,-1497.5,7,2,9
89,-47.3122,-29.1395,-1497.5,7,2,9
90,-86.0572,-43.7061,-1497.5,7,2,9
91,-49.516,-33.8326,-1497.5,7,2,9
92,-55.2024,-38.5487,-1497.5,7,2,9
93,-55.1294,-33.2849,-1497.5,7,2,9
94,-58.7998,-26.9725,-1497.5,7,2,9
95,-73.4498,-50.4344,-1497.5,7,2,9
96,-45.9804,-25.5376,-1497.5,7,2,9
97,-81.6906,-46.0431,-1497.5,7,2,9
98,-50.1337,-38.9611,-1497.5,7,2,9
99,-61.9863,-34.9066,-1497.5,7,2,9
100,-44.8346,-33.0749,-1497.5,7,2,9
101,-71.8237,-35.54,-1497.5,7,2,9
102,-69.453,-35.9637,-1497.5,7,2,9
103,-56.8299,-34.3856,-1497.5,7,2,9
104,-100.897,-52.5078,-1498,7,2,10
105,-127.51,-66.7017,-1498,7,2,10
106,-113.728,-59.5402,-1498,7,2,10
107,-132.824,-67.6009,-1498,7,2,10
108,-109.107,-53.7038,-1498,7,2,10
109,-88.8613,-57.0215,-1498,7,2,10
110,-129.752,-77.222,-1498,7,2,10
111,-125.951,-91.46,-1502,7,2,11
112,-138.073,-87.946,-1502,7,2,11
113,-135.219,-89.2027,-1502,7,2,11
114,-114.149,-84.7237,-1502,7,2,11
115,-89.1117,-57.1338,-1502,7,2,11
116,-147.263,-95.6347,-1502,7,2,11
117,-55.3765,-38.6493,-1502.5,7,2,12
118,-55.7205,-58.3406,-1502.5,7,2,12
119,-53.8336,-53.9674,-1502.5,7,2,12
120,-64.6514,-53.0805,-1502.5,7,2,12
121,-49.7083,-33.9397,-1502.5,7,2,12
122,-48.8567,-30.7795,-1502.5,7,2,12
123,-36.5027,-40.4805,-1502.5,7,2,12
124,-75.4469,-67.8898,-1502.5,7,2,12
125,-38.4219,-41.2648,-1502.5,7,2,12
126,-45.8295,-46.2764,-1502.5,7,2,12
127,-36.6836,-41.2268,-1502.5,7,2,12
128,-74.646,-58.1975,-1502.5,7,2,12
129,-63.9703,-59.403,-1502.5,7,2,12
130,-71.2865,-68.6105,-1502.5,7,2,12
131,-44.9298,-33.212,-1502.5,7,2,12
132,-51.8276,-44.3636,-1502.5,7,2,12
133,-50.3114,-39.1233,-1502.5,7,2,12
134,-71.7337,-63.9295,-1502.5,7,2,12
135,-125.368,-104.517,-1498,7,2,13
136,-90.8753,-76.4693,-1498,7,2,13
137,-90.2992,-83.8548,-1498,7,2,13
138,-113.864,-84.4452,-1498,7,2,13
139,-104.962,-96.4858,-1498,7,2,13
140,-98.4319,-86.1237,-1498,7,2,13
141,-137.788,-107.496,-1498,7,2,13
142,-115.941,-91.2913,-1498,7,2,13
143,-34.3803,-50.8116,-1498,7,2,14
144,-49.355,-58.3647,-1498,7,2,14
145,-36.4049,-40.3535,-1498,7,2,14
146,-53.6692,-53.7924,-1498,7,2,14
147,-38.5524,-56.4949,-1498,7,2,14
148,-48.9383,-58.6466,-1498,7,2,14
149,-30.6073,-23.5569,-1498,7,2,14
150,-45.6988,-46.154,-1498,7,2,14
151,-31.6225,-42.0679,-1498,7,2,14
152,-57.008,-57.5294,-1498,7,2,14
153,-48.3264,-65.0132,-1498,7,2,14
154,-36.586,-41.1045,-1498,7,2,14
155,-57.3539,-67.8072,-1498,7,2,14
156,-55.5636,-58.1662,-1498,7,2,14
157,-47.548,-62.793,-1498,7,2,14
158,-46.7354,-62.3035,-1498,7,2,14
159,-57.7163,-72.158,-1498,7,2,14
160,-36.1615,-43.764,-1498,7,2,14
161,-60.6638,-62.9829,-1498,7,2,14
162,-60.4085,-74.0012,-1498,7,2,14
163,-41.7538,-60.9361,-1498,7,2,14
164,-38.2963,-41.1052,-1498,7,2,14
165,-105.208,-96.7585,-1502,7,2,15
166,-87.2283,-98.153,-1502,7,2,15
167,-90.5207,-84.1214,-1502,7,2,15
168,-71.0992,-82.1655,-1502,7,2,15
169,-69.1664,-81.2198,-1498,7,2,16
170,-89.5308,-116.075,-1498,7,2,16
171,-109.694,-125.201,-1498,7,2,16
172,-61.2159,-86.3595,-1498,7,2,16
173,-99.8149,-120.477,-1498,7,2,16
174,-70.8873,-81.9617,-1498,7,2,16
175,-75.0343,-100.183,-1498,7,2,16
176,-86.9778,-97.8951,-1498,7,2,16
177,-47.6487,-62.9709,-1502,7,2,17
178,-46.8158,-62.4729,-1502,7,2,17
179,-33.0892,-56.4368,-1502,7,2,17
180,-43.7031,-85.6232,-1502,7,2,17
181,-35.9627,-57.7766,-1502,7,2,17
182,-32.1358,-53.0628,-1502,7,2,17
183,-48.4723,-65.1762,-1502,7,2,17
184,-38.6704,-56.6451,-1502,7,2,17
185,-34.4557,-50.9155,-1502,7,2,17
186,-41.8624,-61.0883,-1502,7,2,17
187,-52.7216,-81.584,-1502,7,2,17
188,-23.403,-53.0706,-1502,7,2,17
189,-54.8209,-82.4757,-1502,7,2,17
190,-36.2869,-43.8559,-1502,7,2,17
191,-31.6878,-42.1882,-1502,7,2,17
192,-28.8063,-53.8497,-1502,7,2,17
193,-22.4891,-49.4741,-1502,7,2,17
194,-57.8188,-95.4201,-1502,7,2,18
195,-61.4033,-86.5854,-1502,7,2,18
196,-59.529,-93.7584,-1502,7,2,18
197,-75.214,-100.465,-1502,7,2,18
198,-84.6415,-126.159,-1502,7,2,18
199,-72.352,-104.692,-1502,7,2,18
200,-62.7962,-128.513,-1498,7,2,19
201,-47.3474,-100.366,-1498,7,2,19
202,-75.5909,-127.558,-1498,7,2,19
203,-77.4211,-137.508,-1498,7,2,19
204,-86.0996,-138.013,-1498,7,2,19
205,-59.3662,-93.4817,-1498,7,2,19
206,-57.6841,-95.1885,-1498,7,2,19
207,-69.1871,-117.176,-1498,7,2,19
208,-61.7607,-111.344,-1498,7,2,19
209,-27.445,-63.4489,-1497.5,7,2,20
210,-30.5881,-76.394,-1497.5,7,2,20
211,-16.6233,-55.8762,-1497.5,7,2,20
212,-43.5674,-85.3865,-1497.5,7,2,20
213,-15.4456,-46.7764,-1497.5,7,2,20
214,-28.4245,-84.2362,-1497.5,7,2,20
215,-23.303,-52.9268,-1497.5,7,2,20
216,-21.4422,-55.0979,-1497.5,7,2,20
217,-15.0526,-54.828,-1497.5,7,2,20
218,-28.1752,-80.4985,-1497.5,7,2,20
219,-31.7169,-78.7271,-1497.5,7,2,20
220,-32.4719,-89.4345,-1497.5,7,2,20
221,-28.7216,-53.7265,-1497.5,7,2,20
222,-22.3904,-49.2864,-1497.5,7,2,20
223,-22.8716,-60.5084,-1497.5,7,2,20
224,-22.3916,-59.0883,-1497.5,7,2,20
225,-18.0605,-63.135,-1497.5,7,2,20
226,-58.1769,-149.026,-1502,7,2,21
227,-62.4265,-130.18,-1502,7,2,21
228,-58.0086,-124.383,-1502,7,2,21
229,-66.9669,-153.584,-1502,7,2,21
230,-45.5071,-107.953,-1502,7,2,21
231,-48.5542,-115.226,-1502,7,2,21
232,-47.4202,-100.65,-1502,7,2,21
233,-42.4638,-103.208,-1502,7,2,21
234,-63.0238,-128.809,-1502,7,2,21
235,-52.1145,-154.466,-1498,7,2,22
236,-40.2861,-119.647,-1498,7,2,22
237,-58.2394,-158.895,-1498,7,2,22
238,-42.3812,-102.927,-1498,7,2,22
239,-30.4072,-108.423,-1498,7,2,22
240,-36.4361,-132.862,-1498,7,2,22
241,-57.9689,-148.647,-1498,7,2,22
242,-28.4999,-84.5485,-1502.5,7,2,23
243,-15.0875,-55.0264,-1502.5,7,2,23
244,-21.4747,-55.2863,-1502.5,7,2,23
245,-16.6668,-56.0356,-1502.5,7,2,23
246,-14.1078,-60.5837,-1502.5,7,2,23
247,-19.7443,-80.6344,-1502.5,7,2,23
248,-16.1363,-62.1792,-1502.5,7,2,23
249,-7.52464,-53.0819,-1502.5,7,2,23
250,-18.157,-63.3138,-1502.5,7,2,23
251,-22.9337,-60.7208,-1502.5,7,2,23
252,-13.5933,-65.5086,-1502.5,7,2,23
253,-7.50022,-58.1206,-1502.5,7,2,23
254,-22.4091,-88.0933,-1502.5,7,2,23
255,-11.533,-80.2729,-1502.5,7,2,23
256,-22.4819,-59.2674,-1502.5,7,2,23
257,-38.7999,-161.582,-1502,7,2,24
258,-30.4745,-108.714,-1502,7,2,24
259,-16.8062,-105.23,-1502,7,2,24
260,-30.219,-132.523,-1502,7,2,24
261,-16.8232,-105.269,-1502,7,2,24
262,-46.767,-165.755,-1502,7,2,24
