hit_id,x,y,z,volume_id,layer_id,module_id
0,83.4164,0.320761,-1502.5,7,2,1
1,33.5212,0.80753,-1502.5,7,2,1
2,96.3594,2.19203,-1502.5,7,2,1
3,37.3671,2.5647,-1502.5,7,2,1
4,87.2411,7.64342,-1502.5,7,2,1
5,39.9298,2.26484,-1502.5,7,2,1
6,100.853,14.633,-1502.5,7,2,1
7,31.5963,2.76253,-1502.5,7,2,1
8,41.9065,3.67428,-1502.5,7,2,1
9,30.0033,5.7969,-1502.5,7,2,1
10,83.3483,7.63798,-1502.5,7,2,1
11,68.6188,10.5413,-1502.5,7,2,1
12,51.3094,3.21059,-1502.5,7,2,1
13,50.5873,7.36675,-1502.5,7,2,1
14,53.0071,-0.567858,-1502.5,7,2,1
15,49.7734,1.93614,-1502.5,7,2,1
16,37.3625,-0.244327,-1502.5,7,2,1
17,83.1288,3.25725,-1502.5,7,2,1
18,94.772,3.7222,-1502.5,7,2,1
19,86.6896,1.02976,-1502.5,7,2,1
20,81.1991,1.24966,-1502.5,7,2,1
21,41.2562,7.63546,-1502.5,7,2,1
22,33.8045,1.23107,-1502.5,7,2,1
23,39.8402,6.27016,-1502.5,7,2,1
24,62.9867,2.52466,-1502.5,7,2,1
25,34.5284,0.636029,-1502.5,7,2,1
26,48.6542,3.25239,-1502.5,7,2,1
27,81.2042,0.898979,-1502.5,7,2,1
28,69.7565,8.27354,-1502.5,7,2,1
29,71.5334,5.05303,-1502.5,7,2,1
30,77.3481,7.16575,-1502.5,7,2,1
31,31.599,2.01043,-1502.5,7,2,1
32,88.6881,1.7889,-1502.5,7,2,1
33,83.0478,10.0218,-1502.5,7,2,1
34,91.5523,8.78519,-1502.5,7,2,1
35,30.1602,3.80307,-1502.5,7,2,1
36,31.2234,2.48241,-1502.5,7,2,1
37,64.0561,2.55867,-1502.5,7,2,1
38,55.4579,2.83492,-1502.5,7,2,1
39,85.9502,6.83966,-1502.5,7,2,1
40,56.4636,7.97968,-1502.5,7,2,1
41,47.8687,0.381916,-1502.5,7,2,1
42,72.2835,8.32195,-1502.5,7,2,1
43,66.4946,9.57161,-1502.5,7,2,1
44,74.5396,4.13606,-1502.5,7,2,1
45,54.2363,18.1374,-1498,7,2,2
46,96.4834,18.3044,-1498,7,2,2
47,48.7897,12.1505,-1498,7,2,2
48,32.4613,6.43063,-1498,7,2,2
49,42.0601,8.37514,-1498,7,2,2
50,59.8907,16.5124,-1498,7,2,2
51,82.7219,25.7474,-1498,7,2,2
52,62.0824,12.925,-1498,7,2,2
53,37.6645,11.0221,-1498,7,2,2
54,68.4205,18.766,-1498,7,2,2
55,29.9255,5.77041,-1498,7,2,2
56,68.3844,10.53,-1498,7,2,2
57,97.7472,28.9433,-1498,7,2,2
58,41.5529,13.1383,-1498,7,2,2
59,50.4609,7.35817,-1498,7,2,2
60,53.6176,12.2811,-1498,7,2,2
61,53.3165,11.8489,-1498,7,2,2
62,41.1493,7.59085,-1498,7,2,2
63,45.0935,15.0168,-1498,7,2,2
64,95.6248,31.519,-1498,7,2,2
65,39.7302,6.27316,-1498,7,2,2
66,64.7595,14.5447,-1498,7,2,2
67,32.2702,6.74469,-1498,7,2,2
68,74.2987,23.7252,-1498,7,2,2
69,52.0165,16.7817,-1498,7,2,2
70,30.0293,3.78993,-1498,7,2,2
71,89.3663,17.8298,-1498,7,2,2
72,86.8563,15.2732,-1498,7,2,2
73,36.0967,12.2912,-1498,7,2,2
74,56.2696,7.98141,-1498,7,2,2
75,93.4074,16.1775,-1498,7,2,2
76,66.2039,9.49227,-1498,7,2,2
77,92.7208,21.2062,-1498,7,2,2
78,37.8919,18.5907,-1502,7,2,3
79,32.4543,16.2843,-1502,7,2,3
80,54.3833,18.1697,-1502,7,2,3
81,60.0224,16.6088,-1502,7,2,3
82,82.9321,25.8278,-1502,7,2,3
83,41.2116,19.0458,-1502,7,2,3
84,37.7781,11.0751,-1502,7,2,3
85,83.1179,37.4322,-1502,7,2,3
86,35.3293,17.2587,-1502,7,2,3
87,33.4108,12.9462,-1502,7,2,3
88,39.0503,13.4421,-1502,7,2,3
89,41.6594,13.1698,-1502,7,2,3
90,80.3364,37.0919,-1502,7,2,3
91,72.4259,32.0834,-1502,7,2,3
92,93.9283,34.1168,-1502,7,2,3
93,41.8814,15.4266,-1502,7,2,3
94,36.7705,18.5051,-1502,7,2,3
95,31.9783,15.8165,-1502,7,2,3
96,45.2152,15.0215,-1502,7,2,3
97,95.8231,31.6003,-1502,7,2,3
98,86.3853,33.8066,-1502,7,2,3
99,71.8219,33.8356,-1502,7,2,3
100,92.1176,35.5316,-1502,7,2,3
101,39.6059,15.1876,-1502,7,2,3
102,80.9685,38.6526,-1502,7,2,3
103,74.5125,23.8015,-1502,7,2,3
104,35.1834,14.5464,-1502,7,2,3
105,41.4229,19.6204,-1502,7,2,3
106,77.8514,29.5682,-1502,7,2,3
107,57.3882,26.937,-1502,7,2,3
108,52.1459,16.8099,-1502,7,2,3
109,79.7287,34.2965,-1502,7,2,3
110,34.7263,13.0041,-1502,7,2,3
111,36.2249,12.3259,-1502,7,2,3
112,82.3077,34.3906,-1502,7,2,3
113,56.3845,27.0083,-1502,7,2,3
114,52.6658,18.0536,-1502,7,2,3
115,78.1646,35.8676,-1502,7,2,3
116,36.9092,14.9365,-1502,7,2,3
117,90.9342,36.9356,-1502,7,2,3
118,35.1808,15.1406,-1502,7,2,3
119,31.5408,17.9502,-1497.5,7,2,4
120,84.2121,52.5728,-1497.5,7,2,4
121,37.7738,18.5444,-1497.5,7,2,4
122,38.9139,22.8203,-1497.5,7,2,4
123,84.0592,45.2662,-1497.5,7,2,4
124,24.4102,17.7441,-1497.5,7,2,4
125,33.0927,25.6449,-1497.5,7,2,4
126,32.3417,16.2126,-1497.5,7,2,4
127,88.9228,48.6571,-1497.5,7,2,4
128,27.8782,22.7427,-1497.5,7,2,4
129,40.3001,30.3548,-1497.5,7,2,4
130,42.4876,22.3713,-1497.5,7,2,4
131,31.2901,28.5865,-1497.5,7,2,4
132,70.002,50.1395,-1497.5,7,2,4
133,41.069,18.9805,-1497.5,7,2,4
134,29.829,19.7746,-1497.5,7,2,4
135,35.2233,17.2161,-1497.5,7,2,4
136,55.2523,41.8045,-1497.5,7,2,4
137,27.599,22.337,-1497.5,7,2,4
138,24.2667,18.3012,-1497.5,7,2,4
139,33.2986,12.9286,-1497.5,7,2,4
140,49.0575,25.1073,-1497.5,7,2,4
141,60.8999,33.1267,-1497.5,7,2,4
142,36.6613,31.233,-1497.5,7,2,4
143,53.0305,36.2795,-1497.5,7,2,4
144,61.433,35.2712,-1497.5,7,2,4
145,23.0712,23.3741,-1497.5,7,2,4
146,26.0651,15.4742,-1497.5,7,2,4
147,41.4563,32.2362,-1497.5,7,2,4
148,55.1435,42.0897,-1497.5,7,2,4
149,36.6492,18.4417,-1497.5,7,2,4
150,31.8925,15.7614,-1497.5,7,2,4
151,50.423,27.2928,-1497.5,7,2,4
152,45.508,29.5,-1497.5,7,2,4
153,68.1947,38.1247,-1497.5,7,2,4
154,43.7268,24.6554,-1497.5,7,2,4
155,23.4884,21.4014,-1497.5,7,2,4
156,35.7719,23.5337,-1497.5,7,2,4
157,28.2557,19.866,-1497.5,7,2,4
158,43.5427,23.0179,-1497.5,7,2,4
159,53.8801,35.8619,-1497.5,7,2,4
160,34.8548,20.5087,-1497.5,7,2,4
161,30.8569,18.5279,-1497.5,7,2,4
162,27.7184,25.049,-1497.5,7,2,4
163,84.5245,50.1254,-1497.5,7,2,4
164,39.4715,15.1281,-1497.5,7,2,4
165,68.0641,38.3378,-1497.5,7,2,4
166,35.0778,14.5467,-1497.5,7,2,4
167,41.2917,19.586,-1497.5,7,2,4
168,57.235,26.8345,-1497.5,7,2,4
169,22.9441,22.182,-1497.5,7,2,4
170,28.8562,25.4531,-1497.5,7,2,4
171,40.8733,34.0487,-1497.5,7,2,4
172,45.5653,30.5906,-1497.5,7,2,4
173,30.7496,21.3943,-1497.5,7,2,4
174,53.9593,37.0246,-1497.5,7,2,4
175,25.4728,16.2255,-1497.5,7,2,4
176,34.5974,12.9622,-1497.5,7,2,4
177,36.1181,12.3108,-1497.5,7,2,4
178,39.6645,24.3944,-1497.5,7,2,4
179,22.3643,21.944,-1497.5,7,2,4
180,66.7678,48.9199,-1497.5,7,2,4
181,56.2239,26.9773,-1497.5,7,2,4
182,37.5779,27.2612,-1497.5,7,2,4
183,36.7822,14.8874,-1497.5,7,2,4
184,51.5936,38.6242,-1497.5,7,2,4
185,33.003,21.4851,-1497.5,7,2,4
186,44.2317,25.554,-1497.5,7,2,4
187,35.1304,15.1067,-1497.5,7,2,4
188,67.5248,40.2944,-1497.5,7,2,4
189,49.7976,44.1421,-1502.5,7,2,5
190,24.4616,17.7688,-1502.5,7,2,5
191,33.1841,25.7446,-1502.5,7,2,5
192,38.8788,38.5646,-1502.5,7,2,5
193,62.591,63.288,-1502.5,7,2,5
194,68.1529,64.2246,-1502.5,7,2,5
195,27.9136,22.8213,-1502.5,7,2,5
196,40.4324,30.4229,-1502.5,7,2,5
197,31.3609,28.6587,-1502.5,7,2,5
198,22.6859,19.9345,-1502.5,7,2,5
199,54.8423,47.0699,-1502.5,7,2,5
200,70.2353,50.3536,-1502.5,7,2,5
201,44.0852,43.2086,-1502.5,7,2,5
202,55.4535,41.937,-1502.5,7,2,5
203,27.6688,22.4149,-1502.5,7,2,5
204,24.3507,18.3317,-1502.5,7,2,5
205,71.3163,63.6387,-1502.5,7,2,5
206,33.1542,30.7164,-1502.5,7,2,5
207,23.8393,24.7334,-1502.5,7,2,5
208,36.751,31.3554,-1502.5,7,2,5
209,23.17,23.4384,-1502.5,7,2,5
210,41.6209,32.3585,-1502.5,7,2,5
211,55.3442,42.2382,-1502.5,7,2,5
212,23.5366,21.4501,-1502.5,7,2,5
213,61.5021,51.3113,-1502.5,7,2,5
214,53.4437,50.8727,-1502.5,7,2,5
215,47.4236,40.3392,-1502.5,7,2,5
216,28.3823,19.9339,-1502.5,7,2,5
217,27.7814,25.1413,-1502.5,7,2,5
218,72.7144,65.293,-1502.5,7,2,5
219,54.2533,52.0902,-1502.5,7,2,5
220,76.6544,56.8881,-1502.5,7,2,5
221,23.0153,22.2542,-1502.5,7,2,5
222,28.9291,25.5297,-1502.5,7,2,5
223,41.0227,34.149,-1502.5,7,2,5
224,46.8298,46.1445,-1502.5,7,2,5
225,30.856,21.4548,-1502.5,7,2,5
226,28.4342,27.4084,-1502.5,7,2,5
227,62.8045,56.3689,-1502.5,7,2,5
228,50.8964,49.0916,-1502.5,7,2,5
229,22.4476,22.0323,-1502.5,7,2,5
230,66.9648,49.0727,-1502.5,7,2,5
231,37.7424,27.3364,-1502.5,7,2,5
232,51.8075,38.7573,-1502.5,7,2,5
233,30.5218,33.5423,-1498,7,2,6
234,32.974,39.9549,-1498,7,2,6
235,38.7592,38.4907,-1498,7,2,6
236,62.418,63.1121,-1498,7,2,6
237,31.2926,28.5936,-1498,7,2,6
238,43.9405,43.0944,-1498,7,2,6
239,42.2805,47.5409,-1498,7,2,6
240,37.8453,43.1178,-1498,7,2,6
241,38.353,42.0185,-1498,7,2,6
242,23.9827,25.886,-1498,7,2,6
243,50.6418,61.3342,-1498,7,2,6
244,33.0841,30.6142,-1498,7,2,6
245,23.7829,24.6511,-1498,7,2,6
246,24.0544,29.8193,-1498,7,2,6
247,23.0977,23.387,-1498,7,2,6
248,61.5314,81.4751,-1498,7,2,6
249,23.4727,21.4394,-1498,7,2,6
250,34.8723,46.0269,-1498,7,2,6
251,31.9264,34.34,-1498,7,2,6
