particle_id,particle_type,vx,vy,vz,px,py,pz,q,nhits
0,-211,-0.0430696,-0.00147281,54.2071,-0.386381,0.149524,398.021,-1,-1
68719476736,211,-0.0430696,-0.00147281,54.2071,0.618921,-0.242728,471.733,1,-1
137438953472,211,-0.0430696,-0.00147281,54.2071,-0.672825,-0.0959967,3291.93,1,-1
206158430208,321,-0.0430696,-0.00147281,54.2071,0.214788,-0.851129,-11.3829,1,-1
274877906944,-321,-0.0430696,-0.00147281,54.2071,-0.107913,0.625636,-14.4352,-1,-1
343597383680,-211,-0.0430696,-0.00147281,54.2071,-0.0958642,-0.41514,-5.62141,-1,-1
412316860416,211,-0.0430696,-0.00147281,54.2071,0.00061086,0.266695,-0.685414,1,-1
481036337152,-211,-0.0430696,-0.00147281,54.2071,-0.430197,0.115313,1.12096,-1,-1
549755813888,211,-0.0430696,-0.00147281,54.2071,0.600011,-0.040611,-1.07745,1,-1
618475290624,-211,-0.0430696,-0.00147281,54.2071,0.238394,0.37741,-0.224606,-1,-1
687194767360,-321,-0.0430696,-0.00147281,54.2071,-0.742697,-0.403572,-0.519298,-1,-1
755914244096,321,-0.0430696,-0.00147281,54.2071,-0.311014,-0.252675,-0.479222,1,-1
824633720832,211,-0.0430696,-0.00147281,54.2071,0.0283304,-0.0575899,2.95738,1,-1
893353197568,211,-0.0430696,-0.00147281,54.2071,0.109624,-0.358498,92.0237,1,-1
962072674304,-211,-0.0430696,-0.00147281,54.2071,0.0961703,0.495735,17.6162,-1,-1
1030792151040,-211,-0.0430696,-0.00147281,54.2071,-0.302843,-0.0694131,-0.308295,-1,-1
1099511627776,2212,-0.0430696,-0.00147281,54.2071,-0.469577,0.440252,-289.22,1,-1
1168231104512,-2212,-0.0430696,-0.00147281,54.2071,0.31753,-0.444273,-346.402,-1,-1
1236950581248,-211,-0.0430696,-0.00147281,54.2071,0.517706,1.21689,120.698,-1,-1
1305670057984,211,-0.0430696,-0.00147281,54.2071,0.439602,0.436473,73.4894,1,-1
1374389534720,2112,-0.0430696,-0.00147281,54.2071,1.11447,0.694912,1762.87,0,-1
1443109011456,-211,-0.0430696,-0.00147281,54.2071,0.0692761,-0.0419452,94.1821,-1,-1
1511828488192,-211,-0.0430696,-0.00147281,54.2071,0.0340638,0.495059,-6.82781,-1,-1
1580547964928,211,-0.0430696,-0.00147281,54.2071,-0.180035,-0.0797821,-4.47105,1,-1
1649267441664,-211,-0.0430696,-0.00147281,54.2071,-0.120192,-0.0407994,0.270821,-1,-1
1717986918400,211,-0.0430696,-0.00147281,54.2071,-0.057504,-0.19535,-0.145821,1,-1
1786706395136,-211,-0.0430696,-0.00147281,54.2071,0.46352,-0.0554208,-0.401941,-1,-1
1855425871872,211,-0.0430696,-0.00147281,54.2071,-0.187016,-0.0506485,0.0561894,1,-1
1924145348608,211,-0.0430696,-0.00147281,54.2071,0.478996,-0.0716682,0.17397,1,-1
1992864825344,-211,-0.0430696,-0.00147281,54.2071,-0.382433,0.0574597,0.0948387,-1,-1
2061584302080,211,-0.0430696,-0.00147281,54.2071,0.161093,0.199717,-0.180247,1,-1
2130303778816,211,-0.0430696,-0.00147281,54.2071,0.0342668,-0.243193,-1.10097,1,-1
2199023255552,-211,-0.0430696,-0.00147281,54.2071,-0.0106082,0.663463,-0.42172,-1,-1
2267742732288,-321,-0.0430696,-0.00147281,54.2071,0.182839,0.0651092,9.47847,-1,-1
2336462209024,211,-0.0430696,-0.00147281,54.2071,0.135463,0.540159,5.27247,1,-1
2405181685760,-211,-0.0430696,-0.00147281,54.2071,-1.1476,-0.600645,33.0791,-1,-1
2473901162496,211,-0.0430696,-0.00147281,54.2071,-0.568087,-0.598977,11.1304,1,-1
2542620639232,-211,-0.0430696,-0.00147281,54.2071,-0.692559,0.133484,17.408,-1,-1
2611340115968,-211,-0.0430696,-0.00147281,54.2071,-0.815675,0.165529,43.9056,-1,-1
2680059592704,211,-0.0430696,-0.00147281,54.2071,-0.26277,0.61397,54.4232,1,-1
2748779069440,211,-0.0430696,-0.00147281,54.2071,0.0811674,-0.280258,3.29529,1,-1
2817498546176,2212,-0.0430696,-0.00147281,54.2071,0.308138,-0.634485,-0.418701,1,-1
2886218022912,211,-0.0430696,-0.00147281,54.2071,0.116356,0.141258,0.0709768,1,-1
2954937499648,-211,-0.0430696,-0.00147281,54.2071,0.0044784,0.456739,-2.23933,-1,-1
